id,title,description,link,image_link,price,availability,condition,brand,identifier_exists,product_type
"v1|318720750986|0","Pokemon MEGA Starter Set ex 3 Deck Bundle Eevee Zoroark Meowscarada Japan NEW","Pokemon MEGA Starter Set ex 3 Deck Bundle Eevee Zoroark Meowscarada Japan NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318720750986-0.html","https://i.ebayimg.com/images/g/l1wAAeSwAzZqcwJW/s-l225.jpg","99.99 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318452618215|0","Japanese RC Custom Van VANING Purple Radio Control Car New in Box Rare Vintage J","Japanese RC Custom Van VANING Purple Radio Control Car New in Box Rare Vintage J — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318452618215-0.html","https://i.ebayimg.com/images/g/IMMAAeSwSLlqdKIs/s-l225.jpg","508.02 USD","in stock","used","Sanuki Trading","no","Japanese Collectibles"
"v1|318717631469|0","Cardfight Vanguard Formula Lights Zo=III Diocross D-PR/1738 CoroCoro Promo x2","Cardfight Vanguard Formula Lights Zo=III Diocross D-PR/1738 CoroCoro Promo x2 — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318717631469-0.html","https://i.ebayimg.com/images/g/N2UAAeSwdSZqfDnD/s-l225.jpg","9.99 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318657401253|0","Lupin the Third Zenigata Inspector Figure Banpresto Bandai Japan NEW 2026","Lupin the Third Zenigata Inspector Figure Banpresto Bandai Japan NEW 2026 — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318657401253-0.html","https://i.ebayimg.com/images/g/flEAAeSwZnFqa1~8/s-l225.jpg","39.99 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318669681171|0","Pokemon Card Japanese High Class Pack MEGA Dream ex BOX Brand New Sealed","Pokemon Card Japanese High Class Pack MEGA Dream ex BOX Brand New Sealed — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318669681171-0.html","https://i.ebayimg.com/images/g/nxIAAeSwaJdqesHv/s-l225.jpg","109.99 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318180609870|0","Pokemon Kecleon AR Frigibax AR Card Set Art Rare Holo Japan Official","Pokemon Kecleon AR Frigibax AR Card Set Art Rare Holo Japan Official — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318180609870-0.html","https://i.ebayimg.com/images/g/PCkAAeSwY5xp5w4P/s-l225.jpg","1.49 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318702054149|0","Storm Emeralda Booster Box x2 Set Pokemon Card Japanese MEGA Shrink Sealed NEW","Storm Emeralda Booster Box x2 Set Pokemon Card Japanese MEGA Shrink Sealed NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318702054149-0.html","https://i.ebayimg.com/images/g/Xo4AAeSwE-hqdGHb/s-l225.jpg","338.29 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318158137802|0","Pokemon Pikachu Lightning Deck Case Sleeves Set Center Unopened Japan TCG Box","Pokemon Pikachu Lightning Deck Case Sleeves Set Center Unopened Japan TCG Box — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318158137802-0.html","https://i.ebayimg.com/images/g/WLwAAeSwkXBp4Oq2/s-l225.jpg","22.00 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318282286938|0","One Piece P.O.P Chopper Man ZOZOTOWN Limited Megahouse 2012 Figure Japan Sealed","One Piece P.O.P Chopper Man ZOZOTOWN Limited Megahouse 2012 Figure Japan Sealed — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318282286938-0.html","https://i.ebayimg.com/images/g/uJgAAeSwPN5p-aSd/s-l225.jpg","49.48 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318661374659|0","Pokemon MEGA Storm Emeralda Rayquaza ex 11 Packs Japanese TCG Sealed m6 NEW","Pokemon MEGA Storm Emeralda Rayquaza ex 11 Packs Japanese TCG Sealed m6 NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318661374659-0.html","https://i.ebayimg.com/images/g/8NEAAeSwfE5qbTxd/s-l225.jpg","37.49 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318415850952|0","Banpresto Ichiban Kuji Dragon Ball Super Goku Ultra Instinct Figure A New Japan","Banpresto Ichiban Kuji Dragon Ball Super Goku Ultra Instinct Figure A New Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318415850952-0.html","https://i.ebayimg.com/images/g/bWEAAeSwiiVqITEi/s-l225.jpg","41.80 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318584305811|0","Pokemon Center Tohoku Hiroshima Fukuoka Special BOX Set Pikachu Promo Japan NEW","Pokemon Center Tohoku Hiroshima Fukuoka Special BOX Set Pikachu Promo Japan NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318584305811-0.html","https://i.ebayimg.com/images/g/7KIAAeSw8KJqVvrx/s-l225.jpg","650.00 USD","in stock","new","Sanuki Trading","no","Trading Cards"
"v1|318394374227|0","Pokemon Card Japanese AR Lot Heliolisk Watchog Metang Diancie Misdreavus Holo TC","Pokemon Card Japanese AR Lot Heliolisk Watchog Metang Diancie Misdreavus Holo TC — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318394374227-0.html","https://i.ebayimg.com/images/g/93kAAeSwi0lqHYie/s-l225.jpg","7.00 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318264754747|0","One Piece Ichiban Kuji Marineford A Prize Fire Fist Ace Figure Banpresto Japan","One Piece Ichiban Kuji Marineford A Prize Fire Fist Ace Figure Banpresto Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318264754747-0.html","https://i.ebayimg.com/images/g/DYYAAeSwOT5qdKMW/s-l225.jpg","67.99 USD","in stock","new","Sanuki Trading","no","Anime Figures"
