id,title,description,link,image_link,price,availability,condition,brand
"v1|318726275198|0","One Piece Card Game OP-08 Two Legends Booster Pack Japanese Whitebeard Sealed","One Piece Card Game OP-08 Two Legends Booster Pack Japanese Whitebeard Sealed — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318726275198-0.html","https://i.ebayimg.com/images/g/v7AAAeSwJ2dqfD1d/s-l225.jpg","6.00 USD","in stock","new","Sanuki Trading"
"v1|318720750986|0","Pokemon MEGA Starter Set ex 3 Deck Bundle Eevee Zoroark Meowscarada Japan NEW","Pokemon MEGA Starter Set ex 3 Deck Bundle Eevee Zoroark Meowscarada Japan NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318720750986-0.html","https://i.ebayimg.com/images/g/l1wAAeSwAzZqcwJW/s-l225.jpg","99.99 USD","in stock","new","Sanuki Trading"
"v1|318717631469|0","Cardfight Vanguard Formula Lights Zo=III Diocross D-PR/1738 CoroCoro Promo x2","Cardfight Vanguard Formula Lights Zo=III Diocross D-PR/1738 CoroCoro Promo x2 — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318717631469-0.html","https://i.ebayimg.com/images/g/N2UAAeSwdSZqfDnD/s-l225.jpg","9.99 USD","in stock","used","Sanuki Trading"
"v1|318715598508|0","Protective Vest SR 099/076 M6 Storm Emeralda Pokemon Card Japanese 2026 NM","Protective Vest SR 099/076 M6 Storm Emeralda Pokemon Card Japanese 2026 NM — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318715598508-0.html","https://i.ebayimg.com/images/g/3JYAAeSwpAlqex3l/s-l225.jpg","2.49 USD","in stock","used","Sanuki Trading"
"v1|318710461695|0","Pokemon Card Game MEGA Inferno X Charizard X ex 4 Packs Sealed Japanese m2 NEW","Pokemon Card Game MEGA Inferno X Charizard X ex 4 Packs Sealed Japanese m2 NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318710461695-0.html","https://i.ebayimg.com/images/g/xXEAAeSwVf1qefCV/s-l225.jpg","11.00 USD","in stock","new","Sanuki Trading"
"v1|318707787276|0","MegaHouse One Piece P.O.P DX Trafalgar Law Figure Excellent Model Series NEW","MegaHouse One Piece P.O.P DX Trafalgar Law Figure Excellent Model Series NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318707787276-0.html","https://i.ebayimg.com/images/g/MDMAAeSwvFVqdKQW/s-l225.jpg","80.00 USD","in stock","new","Sanuki Trading"
"v1|318707731848|0","Pokemon Pikachu 30th Anniversary Talking Plush Poke Fuwa Takara Tomy Japan New","Pokemon Pikachu 30th Anniversary Talking Plush Poke Fuwa Takara Tomy Japan New — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318707731848-0.html","https://i.ebayimg.com/images/g/Fs4AAeSwKTRqeeyu/s-l225.jpg","38.00 USD","in stock","new","Sanuki Trading"
"v1|318704149192|0","Pokemon Card Game MEGA Munikis Zero Booster Box Japanese Shrink M3 Nihil","Pokemon Card Game MEGA Munikis Zero Booster Box Japanese Shrink M3 Nihil — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318704149192-0.html","https://i.ebayimg.com/images/g/LNUAAeSwFKNqXfZl/s-l225.jpg","77.49 USD","in stock","new","Sanuki Trading"
"v1|318702054149|0","Storm Emeralda Booster Box x2 Set Pokemon Card Japanese MEGA Shrink Sealed NEW","Storm Emeralda Booster Box x2 Set Pokemon Card Japanese MEGA Shrink Sealed NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318702054149-0.html","https://i.ebayimg.com/images/g/Xo4AAeSwE-hqdGHb/s-l225.jpg","338.29 USD","in stock","new","Sanuki Trading"
"v1|318700358941|0","Pokemon Moncolle Mega Gengar Figure Takara Tomy Japan NEW Sealed Ghost Shadow","Pokemon Moncolle Mega Gengar Figure Takara Tomy Japan NEW Sealed Ghost Shadow — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318700358941-0.html","https://i.ebayimg.com/images/g/PeMAAeSwk-9qddk3/s-l225.jpg","15.00 USD","in stock","new","Sanuki Trading"
